"event_id","R0","k","at_hub","route","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells"
1,0.0805110936934048,0.704060876406567,FALSE,"nonspatial_sub",3.12500000000003,34.1249999999999,3,59.1945442039484,158.899993896484,44,6
2,0.318188194960048,0.361851189658474,FALSE,"nonspatial_sub",1.20833333333336,31.9583333333333,13,49.8112467478035,170.869995117188,48,15
3,0,0.438156336702848,FALSE,"single_case",0.208333333333361,30.6249999999999,20,52.3257288549261,143.809997558594,56,10
4,0.0712067378586594,0.392118572515087,FALSE,"nonspatial_sub",-0.291666666666639,30.8749999999999,27,33.3512163366665,105.309997558594,36,11
5,0,0.556387712472976,FALSE,"single_case",2.37500000000003,34.7083333333333,12,58.4569110074623,167.800003051758,46,5
6,0,1.74163071856887,FALSE,"single_case",1.87500000000003,32.4583333333333,13,29.2369734845831,121.910003662109,36,11
7,0.376834188699991,0.995070433276463,FALSE,"nonspatial_sub",1.62500000000003,33.7916666666666,11,13.0788452722716,39.0299987792969,44,23
8,0,0.997294562438443,FALSE,"single_case",3.70833333333336,34.3749999999999,3,55.3837953139787,280.959991455078,45,6
9,0,0.258059213457953,FALSE,"single_case",3.04166666666669,31.3749999999999,4,36.9478748038209,86.5100021362305,57,23
10,1.42372158140843,0.504233658792905,FALSE,"spatial",1.70833333333336,34.9583333333333,16,92.4736897638774,195.100006103516,71,23
11,0,0.184046122159649,FALSE,"single_case",1.62500000000003,32.9583333333333,9,55.5,162.039993286133,49,13
12,0.0867589867480082,0.484709181239208,FALSE,"nonspatial_sub",1.62500000000003,34.7916666666666,16,72.2276641711272,223.529998779297,68,23
13,0.123674556315095,0.206051634842096,TRUE,"nonspatial_sub",3.62500000000003,31.7083333333333,1,0,11.2700004577637,NA,NA
14,0,2.81969842551304,TRUE,"single_case",0.875000000000028,34.3749999999999,16,0,19.2800006866455,NA,NA
15,0,0.357576667498195,FALSE,"single_case",-0.708333333333305,30.0416666666666,29,49.8122494373631,114.199996948242,46,10
16,0.31724019566802,1.36725223546609,TRUE,"nonspatial_sub",3.12500000000003,30.8749999999999,4,0,19.4099998474121,NA,NA
17,0.0884703202062062,0.861538603974648,FALSE,"nonspatial_sub",2.45833333333336,34.7916666666666,12,70.3911325291469,197.490005493164,53,5
18,0,0.56561238194667,FALSE,"single_case",3.70833333333336,34.2083333333333,3,36.9225302093194,103.410003662109,42,6
19,0,0.157488162782183,TRUE,"single_case",0.541666666666695,33.6249999999999,16,0,20.5599994659424,NA,NA
20,0,0.748830495478825,TRUE,"single_case",1.04166666666669,33.9583333333333,16,0,27.4400005340576,NA,NA
21,0.189396314698361,1.09260157575697,FALSE,"nonspatial_sub",1.29166666666669,33.2916666666666,19,37,102.519996643066,57,21
22,0,0.460122620168291,FALSE,"single_case",-0.124999999999972,31.2916666666666,26,39.2443796584938,117.800003051758,48,8
23,0.854989312331776,0.217713114611724,FALSE,"nonspatial_sub",1.20833333333336,32.0416666666666,13,53.933130409645,169.070007324219,50,15
24,0.960291122813122,0.627976189218866,FALSE,"nonspatial_sub",-0.291666666666639,31.0416666666666,27,46.2496164799295,108.779998779297,42,11
25,0,1.67093387203541,FALSE,"single_case",-1.2083333333333,29.6249999999999,29,27.7438291478259,102.419998168945,32,10
26,0,1.71094561642795,FALSE,"single_case",2.20833333333336,33.0416666666666,9,9.24313023368889,31.4400005340576,32,13
27,0,0.237634137292933,TRUE,"single_case",0.625000000000028,31.4583333333333,22,0,28.7099990844727,NA,NA
28,0.475515021616675,0.287821715553297,FALSE,"nonspatial_sub",-0.458333333333305,30.4583333333333,27,13.0812661811815,65.6600036621094,33,9
29,0,0.0660199106525635,FALSE,"single_case",3.04166666666669,32.4583333333333,7,20.6778043027404,64.2600021362305,30,11
30,0.0325219640818031,0.634252801425955,FALSE,"single_case",0.875000000000028,32.9583333333333,19,20.6816992950754,75.9800033569336,37,16
31,0.281177569719193,0.325294644825287,FALSE,"nonspatial_sub",0.375000000000028,30.7916666666666,17,55.5,199.5,56,5
32,1.0765430770715,1.90452857038641,TRUE,"nonspatial_hub",1.79166666666669,33.5416666666666,11,0,15.6300001144409,NA,NA
33,0,1.25224922314708,FALSE,"single_case",1.37500000000003,31.7916666666666,13,27.75,119.25,47,15
34,0,0.466969675273004,TRUE,"single_case",-1.29166666666664,29.9583333333333,29,0,9.34000015258789,NA,NA
35,0,2.30307661514163,FALSE,"single_case",1.54166666666669,34.7916666666666,16,66.6859839235883,189.809997558594,64,23
36,0.796013797749355,0.338043171853961,FALSE,"nonspatial_sub",0.125000000000028,31.0416666666666,22,46.2499603759831,126.48999786377,41,7
37,0,0.360256926018856,FALSE,"single_case",-0.958333333333305,31.2916666666666,28,33.3481196810424,80.5400009155273,31,7
38,0,0.765659279698867,FALSE,"single_case",0.0416666666666954,31.1249999999999,22,49.8127726492034,120.300003051758,43,7
39,0.238603387205688,1.66611966946648,FALSE,"nonspatial_sub",0.958333333333361,33.0416666666666,19,9.24870613329863,48.8199996948242,41,16
40,0,1.27575419004704,FALSE,"single_case",-0.958333333333305,31.0416666666666,28,18.5,65.5500030517578,30,7
41,0,2.02540982562553,FALSE,"single_case",0.958333333333361,32.8749999999999,19,27.7461183998975,103.099998474121,51,16
42,0,0.851773718288011,FALSE,"single_case",-0.958333333333305,31.2083333333333,28,26.1611211640577,74.6800003051758,35,7
43,0,0.636549250993079,TRUE,"single_case",0.958333333333361,33.2916666666666,19,0,16.7299995422363,NA,NA
44,0.0117501582005927,0.717105557696821,FALSE,"single_case",0.375000000000028,32.2083333333333,16,18.4996037607861,46.4199981689453,52,31
45,0,0.721504610856637,FALSE,"single_case",0.708333333333361,32.0416666666666,16,46.2477380640428,85.5,59,30
46,0.322770789478186,0.690542656064746,TRUE,"nonspatial_sub",-0.541666666666639,30.5416666666666,27,0,29.9200000762939,NA,NA
47,0.597219377048507,1.34171115567466,FALSE,"nonspatial_sub",0.125000000000028,31.8749999999999,26,41.3672378944174,123.879997253418,37,8
48,0,1.09713607887655,FALSE,"single_case",2.29166666666669,33.0416666666666,9,9.24260204867706,33.0900001525879,30,13
49,0.316950867682286,1.07020367591494,TRUE,"nonspatial_sub",0.791666666666694,34.1249999999999,16,0,25.7199993133545,NA,NA
50,0,1.37514720823033,FALSE,"single_case",2.12500000000003,34.8749999999999,12,73.949110926382,238.770004272461,63,5
51,0,1.64972554675034,FALSE,"single_case",1.12500000000003,34.3749999999999,16,9.25000000000002,68.6600036621094,44,25
52,0,0.436441220424867,FALSE,"single_case",0.708333333333361,31.6249999999999,22,20.6823643235023,82.6100006103516,28,7
53,0,0.7098826524737,FALSE,"single_case",1.37500000000003,34.4583333333333,16,26.1591844318063,76.6699981689453,54,23
54,0.362374251923038,0.93805056116689,FALSE,"nonspatial_sub",1.70833333333336,32.2916666666666,13,26.1571372890676,86.6399993896484,43,14
55,0,0.42451250353581,FALSE,"single_case",3.37500000000003,33.9583333333333,3,26.1402723722694,167.419998168945,39,6
56,0.50353887670566,1.15613423679126,FALSE,"nonspatial_sub",2.37500000000003,34.8749999999999,12,76.2157880352807,195.490005493164,52,5
57,0,0.741997231138625,FALSE,"single_case",1.29166666666669,32.4583333333333,13,65.3990677309712,115.309997558594,68,16
58,0,1.32251446309775,FALSE,"single_case",2.04166666666669,32.7083333333333,9,13.0773239404597,53.2299995422363,37,13
59,0,0.497888936180696,FALSE,"single_case",1.62500000000003,32.8749999999999,9,55.5,172.169998168945,49,13
60,0,0.540762394433478,FALSE,"single_case",0.958333333333361,31.7916666666666,22,52.3222423281151,141.940002441406,54,7
61,0,0.290619715642261,FALSE,"single_case",1.29166666666669,32.7083333333333,19,59.2197227288355,174.419998168945,54,16
62,0.186405198609019,0.324380850112501,TRUE,"nonspatial_sub",0.541666666666695,33.7083333333333,16,0,14.0699996948242,NA,NA
63,1.44484358000843,2.71237536724076,FALSE,"spatial",3.04166666666669,34.0416666666666,3,62.033412908221,159.779998779297,44,6
64,0,0.8320392698958,FALSE,"single_case",2.04166666666669,33.0416666666666,9,13.0773239404597,57.2099990844727,36,13
65,0.527555753975353,1.16863661297962,FALSE,"nonspatial_sub",1.04166666666669,30.2916666666666,20,37,125.5,41,8
66,0,1.36493298614822,TRUE,"single_case",3.54166666666669,31.7083333333333,1,0,28.5,NA,NA
67,0,0.921694975271081,FALSE,"single_case",1.37500000000003,31.7083333333333,13,27.75,109.550003051758,48,15
68,0.0675304191181372,0.441564735187475,FALSE,"nonspatial_sub",-0.708333333333305,31.2083333333333,28,20.6823643235026,85.75,31,7
69,0,0.314107056784681,FALSE,"single_case",1.29166666666669,31.9583333333333,13,41.3651555008903,136.860000610352,43,15
70,0,0.578512294612173,FALSE,"single_case",-0.208333333333305,31.3749999999999,26,26.1628644274631,75.1699981689453,41,8
71,0,0.629902573747772,FALSE,"single_case",2.12500000000003,32.5416666666666,9,27.7309165973934,79.2600021362305,44,13
72,0,0.6723999107424,FALSE,"single_case",2.12500000000003,34.7916666666666,12,64.705472060584,214.759994506836,63,5
73,0,2.43376467510931,FALSE,"single_case",-0.874999999999972,30.4583333333333,27,20.6831464345486,85.6500015258789,29,10
74,0,2.25644646130191,FALSE,"single_case",0.708333333333361,31.5416666666666,22,13.0809756326705,55.5499992370605,33,7
75,0,2.35552919236543,FALSE,"single_case",1.62500000000003,33.3749999999999,11,18.4925599802763,77.0299987792969,42,16
76,1.57446848162456,0.268744689062085,FALSE,"spatial",2.87500000000003,34.1249999999999,12,74.5744409762582,205.529998779297,59,5
77,0,0.666791661715422,FALSE,"single_case",1.12500000000003,32.4583333333333,16,56.2652603051535,103.400001525879,70,29
78,0,0.445920425928566,FALSE,"single_case",1.79166666666669,33.3749999999999,11,18.4909556886175,51.8400001525879,46,24
79,0,1.38905717549807,FALSE,"single_case",1.45833333333336,32.4583333333333,13,53.9234598957021,144.669998168945,50,16
80,0,0.318742786345059,FALSE,"single_case",1.12500000000003,30.2916666666666,20,46.25,172.960006713867,41,8
81,0,1.39386563596927,FALSE,"single_case",1.37500000000003,31.2083333333333,14,29.250226196293,82.9100036621094,29,6
82,0,0.870633694988182,TRUE,"single_case",0.291666666666695,32.5416666666666,16,0,0,NA,NA
83,0,0.563596173413867,FALSE,"single_case",1.37500000000003,33.5416666666666,11,27.75,106.650001525879,48,16
84,0,0.346954735552639,FALSE,"single_case",1.37500000000003,32.5416666666666,13,66.6894022407993,157.009994506836,54,16
85,1.2730020374516,1.12468744457188,FALSE,"spatial",2.12500000000003,33.0416666666666,9,9.24363886579805,41.5499992370605,34,13
86,0,0.508270250307471,FALSE,"single_case",1.20833333333336,33.2916666666666,19,27.75,81.4599990844727,53,21
87,0,0.921112776274071,FALSE,"single_case",1.37500000000003,33.7083333333333,15,27.7420095308322,80.9499969482422,54,18
88,0,0.799630339831549,FALSE,"single_case",2.29166666666669,34.8749999999999,12,74.5171579458923,239.279998779297,56,5
89,0,1.09492299195468,TRUE,"single_case",1.79166666666669,33.6249999999999,11,0,9.61999988555908,NA,NA
90,0,2.68809064386932,FALSE,"single_case",1.70833333333336,34.9583333333333,16,92.4736897638774,195.100006103516,71,23
91,0,0.536657195719168,FALSE,"single_case",0.125000000000028,30.4583333333333,23,38.1386416125867,101.809997558594,43,14
92,0,0.270598814311383,FALSE,"single_case",3.12500000000003,34.1249999999999,3,59.1945442039484,158.899993896484,44,6
93,0,0.213603251727108,FALSE,"single_case",1.62500000000003,32.9583333333333,9,55.5,162.039993286133,49,13
94,0.806473654905469,0.242942475590839,TRUE,"nonspatial_sub",-1.4583333333333,30.0416666666666,29,0,18.6800003051758,NA,NA
95,0.0407977605748945,1.36017475772324,FALSE,"single_case",2.54166666666669,32.4583333333333,7,20.6673521552501,53.1699981689453,31,11
96,0.151504429527854,1.27560165789298,TRUE,"nonspatial_sub",3.29166666666669,31.7083333333333,1,0,21.5799999237061,NA,NA
97,0,0.999555171578752,FALSE,"single_case",3.70833333333336,31.6249999999999,1,9.23063255233005,37.3800010681152,33,20
98,0,1.80582096045449,FALSE,"single_case",0.708333333333361,31.7083333333333,22,26.1619512653413,106.360000610352,40,7
99,0.643163555737526,0.223255117029348,FALSE,"nonspatial_sub",2.62500000000003,34.7916666666666,12,79.516230722616,152.779998779297,54,5
100,0,1.31964973643879,FALSE,"single_case",0.375000000000028,31.6249999999999,22,20.6835401908504,80.2799987792969,28,7
101,0,1.67890252396021,FALSE,"single_case",0.375000000000028,33.8749999999999,24,9.24999999999997,44.1699981689453,35,23
102,0,1.65719401830377,FALSE,"single_case",1.79166666666669,34.5416666666666,12,52.3131127836383,146.570007324219,56,5
103,0,0.640799027238989,FALSE,"single_case",1.95833333333336,34.7916666666666,12,67.3046546240117,229.339996337891,51,5
104,0,0.87538870607564,FALSE,"single_case",-0.458333333333305,31.1249999999999,28,38.1386552581881,85.2300033569336,39,7
105,0.316160148339185,1.60688527137054,FALSE,"nonspatial_sub",2.54166666666669,32.6249999999999,9,29.2251711114843,81.75,40,16
106,0.455500693430842,2.34736757585143,FALSE,"nonspatial_sub",1.62500000000003,33.7083333333333,11,9.24627999013854,44.5800018310547,40,18
107,5.74046061896658,1.07077859594938,FALSE,"spatial",-0.791666666666638,30.7916666666666,27,13.0808511151729,42.0299987792969,32,11
108,0.112362031840044,1.43516057678118,FALSE,"nonspatial_sub",2.79166666666669,31.2916666666666,4,38.0961291535969,95.0400009155273,41,15
109,0,1.33189760817218,FALSE,"single_case",1.45833333333336,33.4583333333333,11,20.6822890678214,58.2299995422363,35,16
110,0,0.521565174037579,FALSE,"single_case",1.45833333333336,34.7916666666666,16,62.0348081246144,183.089996337891,59,23
111,0,2.28115583352185,FALSE,"single_case",3.45833333333336,31.3749999999999,4,9.233155104693,48.9700012207031,45,20
112,0.0237585469362173,0.683114653133773,FALSE,"single_case",1.37500000000003,31.2916666666666,14,27.75,68.2300033569336,37,6
113,0.416637609323434,0.585506446262721,FALSE,"nonspatial_sub",0.208333333333361,30.4583333333333,23,36.9997554072891,92.5,53,14
114,0,1.46608585635038,FALSE,"single_case",1.87500000000003,33.1249999999999,9,33.3458559380202,84.3300018310547,38,13
115,0,1.05245373586619,FALSE,"single_case",-1.04166666666664,30.5416666666666,27,37,129.110000610352,37,10
116,0,0.595773836729747,FALSE,"single_case",-0.874999999999972,31.0416666666666,28,9.25000000000007,33.0800018310547,30,7
117,0,0.98364304278206,TRUE,"single_case",0.541666666666695,31.5416666666666,22,0,29.9799995422363,NA,NA
118,0,1.53586543666051,TRUE,"single_case",0.875000000000028,30.7916666666666,17,0,24.2900009155273,NA,NA
119,0,1.33396476422514,FALSE,"single_case",1.87500000000003,33.2916666666666,11,29.2369734845831,64.3300018310547,45,24
120,0.131455220507414,0.524030885296103,FALSE,"nonspatial_sub",1.37500000000003,31.7916666666666,13,27.75,119.25,47,15
121,0,0.864973025423932,FALSE,"single_case",1.20833333333336,34.3749999999999,16,9.24794304927555,61.1199989318848,45,23
122,0,0.817429480395194,FALSE,"single_case",0.875000000000028,34.0416666666666,16,9.25000000000002,34.2200012207031,49,34
123,0,1.44448531168563,FALSE,"single_case",1.45833333333336,33.7916666666666,15,18.4940077954933,44.4700012207031,48,17
124,0,1.27383216251932,TRUE,"single_case",1.87500000000003,31.9583333333333,13,0,27.9799995422363,NA,NA
125,0.512362169976006,0.535815734069014,FALSE,"nonspatial_sub",1.04166666666669,33.7083333333333,16,27.7454140079392,76.0500030517578,59,28
126,0,1.33240461196719,FALSE,"single_case",2.29166666666669,31.2916666666666,10,27.7278061460304,124.319999694824,27,1
127,0.113173360421371,1.23627154052728,FALSE,"nonspatial_sub",1.62500000000003,34.7916666666666,16,72.2276641711272,223.529998779297,68,23
128,4.26522004185653,1.23033496344623,TRUE,"nonspatial_hub",3.37500000000003,30.9583333333333,4,0,12.3900003433228,NA,NA
129,0,1.62594083308569,FALSE,"single_case",0.375000000000028,33.5416666666666,16,13.0813353609835,57.9300003051758,55,39
130,0.258613665412295,1.31024109943983,FALSE,"nonspatial_sub",1.20833333333336,32.8749999999999,19,39.2400631470408,150.070007324219,56,16
131,0.169182813578875,0.558490802470724,TRUE,"nonspatial_sub",1.04166666666669,30.8749999999999,17,0,24.0400009155273,NA,NA
132,0,1.05889043587615,FALSE,"single_case",3.54166666666669,31.3749999999999,4,13.068989520528,49.7099990844727,46,20
133,0,1.01918109342606,FALSE,"single_case",1.45833333333336,34.7916666666666,16,62.0348081246144,183.089996337891,59,23
134,0.245738677537246,0.869798168887891,FALSE,"nonspatial_sub",0.791666666666694,33.0416666666666,16,18.5,55.560001373291,64,41
135,0.844596108521285,0.542016974394281,FALSE,"nonspatial_sub",0.541666666666695,30.1249999999999,20,9.24958664094186,131.199996948242,34,11
136,0,1.32901382567967,FALSE,"single_case",2.20833333333336,34.9583333333333,12,83.1881721031977,172.860000610352,63,5
137,0.337171282159235,0.970927264768179,FALSE,"nonspatial_sub",0.875000000000028,33.8749999999999,16,13.0807127647154,53.2299995422363,60,36
138,0,1.09479298735235,FALSE,"single_case",0.458333333333361,31.6249999999999,22,13.0812661811814,46.2999992370605,33,7
139,0.042650644602682,1.33805075419868,FALSE,"single_case",-0.541666666666639,31.7083333333333,26,18.5,50.9500007629395,31,8
140,0,0.811359198450275,FALSE,"single_case",-0.708333333333305,30.7916666666666,27,9.24929313528983,44.3800010681152,31,11
141,0,1.62229064000352,FALSE,"single_case",0.125000000000028,31.3749999999999,22,38.1387216979454,152.910003662109,37,7
142,0,1.54699640366394,FALSE,"single_case",-0.208333333333305,30.4583333333333,25,36.9997554072891,97.9400024414062,51,8
143,0,0.803597999425351,FALSE,"single_case",0.458333333333361,33.8749999999999,16,9.24970404407231,35.5099983215332,49,34
144,0.298341126993015,0.54412491126593,TRUE,"nonspatial_sub",3.45833333333336,31.2083333333333,4,0,8.68000030517578,NA,NA
145,0.747005894389489,0.618494671749272,FALSE,"nonspatial_sub",1.29166666666669,34.3749999999999,16,13.0798135461945,56.2299995422363,47,23
146,0.314370293605469,1.23930781400401,FALSE,"nonspatial_sub",-0.958333333333305,29.7083333333333,29,26.1611211640577,121.769996643066,40,10
147,0,0.547454988411828,FALSE,"single_case",1.87500000000003,32.7916666666666,9,27.75,98.120002746582,43,13
148,0.724780640752523,1.74500366433095,FALSE,"nonspatial_sub",0.125000000000028,31.4583333333333,22,41.3672378944176,162.690002441406,38,7
149,0,1.2594319899074,FALSE,"single_case",1.37500000000003,31.9583333333333,13,33.3483947160465,124.949996948242,40,15
150,0,1.43485271894548,FALSE,"single_case",0.958333333333361,31.7916666666666,22,52.3222423281151,141.940002441406,54,7
151,0.251643982877643,0.733840477780622,TRUE,"nonspatial_sub",0.625000000000028,33.7916666666666,16,0,24.3700008392334,NA,NA
152,0,1.49742951904017,FALSE,"single_case",-0.0416666666666385,31.3749999999999,26,39.2444211672533,103.580001831055,46,8
153,0.279867890503969,0.94808036193332,FALSE,"nonspatial_sub",0.291666666666695,32.2083333333333,16,18.4997602993967,50.7200012207031,51,30
154,0,0.227041167360012,TRUE,"single_case",3.04166666666669,30.8749999999999,4,0,6.67000007629395,NA,NA
155,0,0.853196487577434,FALSE,"single_case",-0.458333333333305,31.7083333333333,26,9.24999999999997,30.1900005340576,28,8
156,0.535192146087339,0.538884502127079,FALSE,"nonspatial_sub",3.29166666666669,33.9583333333333,3,33.3344285790373,190.830001831055,32,6
157,0,0.744205891146943,FALSE,"single_case",2.37500000000003,31.1249999999999,10,13.075858209071,100.910003662109,21,1
158,0,0.600420333693061,FALSE,"single_case",1.12500000000003,31.5416666666666,13,56.2652603051533,121.26000213623,57,14
159,0,0.420309566829404,FALSE,"single_case",0.291666666666695,31.4583333333333,22,26.1627814105295,113.169998168945,41,7
160,0,0.565392791964117,FALSE,"single_case",0.125000000000028,31.2916666666666,22,37,165.059997558594,46,7
161,0.987636622186733,0.310236907059297,FALSE,"nonspatial_sub",1.79166666666669,33.1249999999999,9,41.3632136357708,98.3899993896484,41,13
162,0,0.44491867891845,FALSE,"single_case",-0.958333333333305,31.1249999999999,28,20.6830501894697,76.3399963378906,25,7
163,0,0.280317111148027,FALSE,"single_case",1.62500000000003,31.2083333333333,14,9.24627999013815,78.3399963378906,24,6
164,0,0.750235060675608,FALSE,"single_case",0.958333333333361,32.4583333333333,16,38.138413248851,79.9100036621094,57,29
